Column Header,Row Header,Content,Row Index,Column Index
IDI-12 成都  卢先生-0.2信息参考价值有限*,"社交圈/朋友圈
【之前讲的是 能帮助营销借势的话题 才打开，比如汽车 比如机器人】","【社交活动】滑雪，骑车，烤烧烤露营，徒步，喝酒
【社交圈】
1）朋友：性格很好。有发小2个，大部分都是出社会认识的朋友（滑雪九顶山那边雪场比较好，会发附近拼车的时候，找搭子；路上来回就成朋友了0
2）兴趣圈：大部分都是兴趣带来的
Q大学同学：很少能成为朋友了，性格不太合得来，大学的时候租房不住校，自己喜欢早睡早起，作息比较养生，不像年轻人，室友习惯不一样会有摩擦。
3）工作社交：滑雪爬山徒步的很少，都是一些30-40岁的，平时除了公司团建走得近，其他生活中没有什么交集
重要排序：发小(从小认识的）>
【最近社交-发小】不拘束，什么都可以做很放得开，没有顾及。八卦，情感沟通。
Q话题：最近比较火的，一段时间很火的都会去谈论，什么都会聊。朋友们不聊数码产品（跟对象聊数码测评，这个有朋友买了会去问实际的感受）
Q最近科技产品话题：大疆随身摄影，但是去看了不是特别的喜欢。其他的就是装备（比如篮球的装备，去看球鞋测评）
Q形象：自己想给别人做一些动作，引起他们的关注，希望是被关注到的，比如会被问健身的、运动的，希望朋友觉得自己是专业的人（会带着朋友们健身运动）
*待补充",9,12
IDI-13 北京  张女士*,个人消费与品牌,"【最近买的】联想笔记本电脑（更新迭代，最近要更大的屏幕，性价比很高的笔记本），刚刚上市预售的时候买的；小电动车（使用率很高，完全懒人的福利，替代自己的双脚）；按摩卡（可以长期使用）；2月份换的手机；扫地机器人无关痛痒，没有起到什么作用；
【小电动车】现在有很多电动车，随处都可以看到（接送孩子+出去玩很方便），不用蹬车，骑车子还能带着小朋友，骑车很方便（快+凉快+替代双脚），外观和样子，第一是去看品牌，品牌意味着内心的安全保障，电动车不像其他的东西（品牌电池是零事故，或者没有什么问题的）
Q品牌：大品牌有相对的保障，有问题能找到人，杂牌充电不知道什么情况，品牌质量有保障，骑车子掉链子回头有雅迪，更有安全保障+质量+售后。
Q最打动的点：续航很久，价格适中，比同类的更适中偏低（性价比综合是很高的）
【按摩卡】自从怀孕之前就喜欢按摩，从小就喜欢带着泡温泉，去体验从小就觉得很享受，让自己身心愉悦，自己消费可以的时候是不是会去享受，腰不好的时候会去医院做按摩。这次的按摩卡是新地方，有的时候懒得回家应该做什么就在孩子上课的附近找了做SPA的地方（享受2小时）
Q考虑点：团购体验1-2次感觉师傅手法都是可以的，很怕把自己的腰捏坏。店铺的规格（按摩店正经正规）。针对的是腿脚，脚足底有问题，有针对性的，选择了联想和热度，整体的感受是身体上的舒适和缓解

待补充XXXX

【消费变化】XXXXXX待补充",11,13
IDI-12 成都  卢先生-0.2信息参考价值有限*,"内容触点
内容具体是啥；吸引点和排斥点是啥；吸引点价值何在，排斥点是因为啥。
要么不提示，要么就提示多个方面：谈资、了解知识、提升认知、借鉴经验、指导消费、情绪价值","【平台】抖音-快信息，网易云-音乐，B站-电影直播体育赛事数码产品发布会，美图休息剪辑视频，AI（Deepseeek）-处理工作文档/编辑团建的微信公众号信息，keep-运动。
Q抖音，B站

【抖音】
1）看-点进去关注，不进推荐
【直播】成都直播，迈克尔杰克逊舞蹈模仿者，模仿动作和形态；现场很低调，说话风格是比较幽默谦逊的，被说话方式吸引；关联是网红浮夸的表现不是很喜欢，这种粉丝很多800万可以做的很低调谦逊（也是一种学习，这么成功很多的粉丝，肯定有自己的不同之处，现场说话也是很幽默和谦逊的）
【人民日报】实时新闻，国内外的政治新闻，发布一些有趣的内容（如科普视频）以一种风趣幽默的方式呈现出来。能够获取一些新闻，拍摄风格，经常本身是比较威严的，经常可以在视频中做一些搞怪的事情看着很有趣（自己很喜欢关注国家领导人的访问，第一时间推送，可能是看到自己国家领导人的接待规格和风格就是展示中国，看起来就很舒服，有自豪感，认可国家的强大），大部分是跟长辈沟通，自己在家到时间就看新闻（很多老年人喜欢找自己聊天，和老人交流陪伴的方式）Q心态：和长辈聊天无非是健康和关注的国内外的东西，更多是陪伴家人，周末都会去看望长辈-外公去世只剩外婆，是对长辈的陪伴。
【雪茄制作/品鉴】爸爸抽雪茄，家里有雪茄柜，自己不怎么抽烟，现在就觉得受父亲的影响，觉得雪茄是放松消遣的方式。纯自己一种知识的补给，了解这方面的东西，不是为了跟别人探讨。（爸爸不让自己抽烟，父亲对自己的影响很大）
【社会热点新闻】女子结账是有小偷，自己尽量不要遇到这样的人，满足猎奇的心理
【舞蹈】猛男跳比较妖娆的舞蹈，感觉很反差，有健硕但是舞蹈妖娆。目的就是让自己开心
【虎哥说车】说电梯在山脊上，未来可以去看；口音是东北的听着很舒服有点自带幽默感觉（之前是说车，把车子的细节给说一下，现在会插入不同的风格，现在会讲解日常和不同的生活状态）。光头的辨识度很高（搞笑+放松）
Q科普：外观，车子的独特的创新点，黑科技，驾驶感受，底板。比如最近想买车看车的时候，会搜索车的名字看测评+综合体验，很好的帮助自己选车。（也会跟别人聊天）。核心科技，智能操作，长辈很喜欢越野车，不如20万的新能源汽车。会和长辈聊天，以自己获得信息做辩论（Q感受：觉得自己逗他们玩，是相互的交流，是生活的调剂）*待补充
【财富论】通过表面的东西讲解真正核心蕴含的东西，可以看一下了解一下，通过表面的内容主题，去思考背后。比如两个领导人会晤，背后隐藏的契机和解答需思考（更多的是满足自己的兴趣，作为知识的补给；其次上会跟体制内的领导聊天，坐在饭桌上大部分时间都是工作以外的事情，看的东西自己也能跟他们搭上话，相当于是让自己变得更成熟一些不像小孩，可以进行深入的交流）
Q其他看的：手机测评；
【生活的科普】妈妈很爱干净，什么可以起到很强的情节，牙齿发黄怎没做，可以看看了解下。
【影视剧剪辑】花短时间去看，了解电影大致内容
【民谣歌手】【古代黑帮草菅人命的历史】了解恶人的过往（关联倒没有很大的，也不会深入思考，也不会其聊天，只是自己感兴趣知道）
【成都美食博主探店】成都好吃的地方，视频呈现的很吸引人，做提前的了解
【俞敏洪川西】喜欢他的直播，比较喜欢俞敏洪（比吴彦祖喜欢），感觉两个人的从事的领域和思维完全不同。艺人是青春饭，外观好看+包装。但是思维逻辑和新东方创始人不同，更倾向于看俞敏洪对事物的见解看法，更有营养。（网红的信息没有层次和营养，独到见解）
【原创歌手访谈】有艺术天赋的原创歌手，喜欢的赵雷和梁博（不像民谣安静，但是也没有摇滚的激情），梁博的哥很好听，自己做音乐的创作能力很认可，且他们都很孤僻，内心是很丰富的，但极为敏感的人。（感觉自己有一点共鸣，比如自己从歌迷的角度去讲，很多歌手都在吃互联网红利，为了很多没有高度的东西去出现在观众视角。赵雷从来没有在社交平台活跃过，就很低调+保持初心

2）不看
【足球赛事热点】最近的比赛，最近是国足和印尼比赛，很早之前关注，发小喜欢踢足球。看的时候就是为了看国家队，其他国家的球队自己不了解，只知道梅西阿根廷，每次看国足都很伤心，就不想看了
【吴彦祖】对不是很喜欢的艺人的访谈类的视频不感兴趣，时间很长不想花时间，即使是名人的访谈也不想花很长时间（吴彦祖帅，但是自己更喜欢民谣歌手的访谈）
【广告不看】抖音的广告总感觉是骗人的
【老年人拍摄视频】拍摄的是景色，但是说一些其他的东西是不喜欢的，如果看到风景和说的东西不对应的会划走。
【贪污】喜欢看官方发布的，而不是听这种，感觉不是很真实，担心信息不够权威
",12,12
IDI-17 北京  胡先生,"内容触点
内容具体是啥；吸引点和排斥点是啥；吸引点价值何在，排斥点是因为啥。
要么不提示，要么就提示多个方面：谈资、了解知识、提升认知、借鉴经验、指导消费、情绪价值","【平台】微信公众号（之前关注的多），抖音，微博，小红书（简单刷，买lululeomn的衣服-因为这个品牌关注小红书，里面的图片更多。Qlululeom：独特，给爱人女儿买，挑选好看的买。科技面料，穿着裸感，没有束缚感）
Q主要的：抖音+微博
【抖音】
1）看：
【小孩子学习引擎的声浪】本身男生对于大排量的汽车感兴趣，还是有怀旧感的，特别爽快的感觉（个人怀旧）
【洛杉矶骚乱】了解国际时事，自己有一定的时间会看中央4国际新闻的习惯（自己要实时关注国际的时事新闻，50%个人爱好，50%投资策略知指导）
【说教的人生大道理】基本只看开头的很逗，手势很搞笑。正文一般不看了，看一个好玩。讲解的人生道理大同小异（比如吃亏是福）。感觉很鸡汤很被动，应该是怎么主动的迎接挑战。
【收纳】之前看过新房子交流方法去看。
【挑战自我的】室内蹦极的，看看到底怎么体验的，是否危险和刺激。如果好玩可以自己体验。（挑战的题材，看看是不是适合自己）
【演员】之前有日本的演员。有的时候会穿着自己演电视剧人物的过程/花絮，普通人没有机会体验，感觉现场一样看到工作状态，人没有办法当演员，喜欢演绎说相声，自己负责逗人（享受演员上台表演的感觉，有真实的体验和沉浸感）
【游戏】刷到游戏内容是自己玩过的超级魂斗罗游戏（怀旧的），讲解一命通关不开枪的挑战，非正常常规的挑战，纯靠躲避很牛很刺激，和之前的玩法不一样（达人级别）。吸引点就是崇拜，感觉很厉害的达人玩的游戏，不一样，与众不同。（只是自己看）
【switch游戏】讲解什么，愿意看的是什么。怎么玩的，有没有合家欢的感觉，双人一起，切水果土豆之类的。自己家里也想玩，关注手柄（自己本身想买一套一家三口一起玩，现在只有两个手柄），种草。
【华为手机】一些跨终端使用，无缝协同怎么操作的，对之后买东西有种草的过程。
【浙江广播主持人飞哥】讲解车子质量问题（自己拨打过热线），分享一些车主遇到的质量问题，是不是需要反馈，给之后用车有指导作用涨知识。主持风格也是诙谐幽默的。
【介绍楼盘】纯欣赏，以后有机会再改善
【餐饮卖券的】感兴趣的会去看
Q其他：手机的一些测评也会看，同级别手机和其他的测评（微博视频也会看）；个人爱好，手机更新换代很快，之后还得购买，平时要多关注了解。
2）不看
【卖东西的】房子，卖衣服的；买房贷款的不看
【车子直播】乐道，所有新能源汽车都会看，感兴趣的会看，直播浪费时间
Q其他：鸡汤过多的不看，房地产的交易过程的不看，展示楼盘户型可以看

【微博】看博主下面的视频，看节目表的哪个标题感兴趣，直接进入关注里面去看（科技博主-科技美学，lijieling，品牌的官方微博（很多信息都是比较官方的，因为有限制不能瞎说的），信息真实性更高；公众号和微信很多都是假的。新品的卖点不同点，产品的补丁贴士，使用应该注意的，涨知识（比如手机用坏了，里面的小东西功能手势是很多的，需要不断地学习）。品牌方（华为小米OPPOvivo，蔚来比亚迪）
1）看
【XXXXX待补充】旅游车队，南极，三江源头
【出的新东西】学生用的台灯，小米Yu7，热度比较高的产品（生活的，野餐装备也会看），纯求知感觉新鲜的想看看。牙刷品牌。阿维塔很喜欢，展会的预告也会关注到。蔚来。宜家是生活状态-崇尚自然，比较简单的。
【刷圈的】有参考意义，纽北的。看车子的极限最高速度，制动能力。现在车子的内容比较热，当下比较热，会去关注当下的性能表现。知道就好。",12,17
IDI-6 成都  张女士（Bella）,自我标签,"活泼：
搞笑：
有趣：
Q抗拒：廉价-不管从谈吐还是个人的身世和穿着，不是很喜欢这种感觉
Q独特点：待补充",13,6
IDI-12 成都  卢先生-0.2信息参考价值有限*,自发提及,"待补充
对比手机外观，摄像功能，电池耐用度，快充+超级快充。从中挑选2-3款进行最终的对比。选择之后价格也会考虑，也对比了非凡大师，看了两个的测评，除了手机的材质玻璃没有差距，不值得花更高的预算。最终决定买华为Mate70 pro+，喜欢圆形的镜头模组，价格也很合适，拍照摄影电池，科技系统的电池都还可以。整个购买周期是一周左右（从打算换到买入）",17,12
IDI-8 成都  李同学（Bella）,购机过程各个机型排除顺序,"【认真考虑的】苹果14ultra，Find X8，荣耀Mgaic，vivo X200s，华为13 Nova
【考虑并排除顺序】
XX待补充",20,8
IDI-15 北京  杜先生,购机过程各个机型排除顺序,"【知道但是不考虑的】最开始品牌+产品都关注
OPPO：日常接触比较少，宣传的不多；
苹果：没有AI功能，不智能（直观的感受，当然AI也可以有替换）；仿生芯片不知道能力如何（综合原因：手机都有AI但是苹果上没有，是有个没有的区别差距比较大了），XXXX（待补充）
Q排除苹果：像骁龙和天玑，可以有很多AI替换产品，综合方面也不是很行
小米：品牌上排除，手机不是重心，迭代的不够快

【考虑并排除顺序】
pura70/vivo X200/荣耀Magic7",20,15
IDI-16 北京  季先生,购机过程各个机型排除顺序,"【知道但是不考虑的】
OPPO：感觉塑料感低端
vivo：感觉游戏手机可以看看，但是主用手机不行，自己还要用办公；且自己会考虑安全性，据说鸿蒙next系统，微信打开相机打开的是自带手机的相机（不像安卓手机打开是微信的相机，华为的安全性上会做的更好一些）
【考虑并排除顺序】
三星S25/荣耀M7 pro（外观造型吸引）/小米14U/华为M70 pro（标准的放弃了，直面平+减配+处理器9010）

具体是因为什么 让消费者觉得安全性更好一些，起码是比vivo好一些
华为：据说鸿蒙next系统，微信打开相机打开的是自带手机的相机（不像安卓手机打开是微信的相机，华为的安全性上会做的更好一些）*荣耀感觉和华为有关系，可能隐私保护也还可以
小米：安全框架，澎湃系统，也有隐私保护做的比较好的；底层框架脱离安卓了，1）线上看到 2）线下店员说，更新的时候有说明和解释
荣耀：感觉和华为有关系，隐私保护也还可以；AI通话，荣耀也是有这个功能的；XXX（待补充）识别度比较高",20,16
IDI-8 成都  李同学（Bella）,产品对比-最早知道,"【苹果16】微信关注了腾讯新闻，知道的是苹果16调色盘；小红书也看到了调色盘很伟大的推销视频。（调色盘很伟大）。最开始知道的是外观设计不一样，外观有变化（第一感受是可以接受的）。便捷的切换滤镜，找到对应的照片XXX，可以一键处理就很方便。
Q喜好度影响：增加了吸引力
【vivo X200】：XX渠道【夜景拍照神机】，有期待
【OPPO X8】：仿苹果设计，外观，边缘，和苹果很像（生态互通），有巨大的摄像头在后面。吸引力7分，想看怎么设计的。（自己觉得还好，OPPO印象里是热点捕捉达人）.Q怎么看：不是完全的抄袭，半抄
【小米14 ultra】男朋友推荐的，使用情况好，拍照好看。
Q为啥不看小米15？？？（待补充）
【荣耀Magic7】小红书上看到的，屏幕大，从荣耀数字系列到Magic7的使用体验，想去了解一下。从用户自己的使用体验（换机的真实体验）。文档的处理更方便，长按可以复制文字粘贴拖住到边缘可以发送。其他的就是使用，整体使用体验流畅丝滑。（Q吸引力：4分，这种只是还好，自己没有复制粘贴文字的需求）
Q当时也看了荣耀300：旅拍神器是荣耀300，两个手机都是一起的，旅拍就是300的。数字系列和Magic系列是对比过的，旅拍功能是荣耀300的。
Q续航长充电快，朋友也会说到打游戏的时间很长。",21,8
